the_geom,cartodb_id,code_rpa,description_rep,latitude,longitude
0101000020E610000074F04C68926852C0B41EBE4C14BF4640,113,RD-TT,Réel,45.492807,-73.633936
0101000020E6100000787C7BD7A06752C07F677BF486BF4640,114,RD-TT,Réel,45.496306,-73.619192
0101000020E61000007C0A80F10C6452C04BAC8C463EC74640,115,RD-TT,Réel,45.556588,-73.56329
0101000020E61000008FE21C75746752C01D3EE94482C74640,116,RD-TT,Réel,45.558663,-73.616483
0101000020E6100000C4B0C398F46052C06C0723F609CC4640,117,RD-TT,Réel,45.594054,-73.514929
0101000020E61000004A9869FB576652C0BCCE86FC33C34640,118,RD-TT,Réel,45.525024,-73.59912
0101000020E610000026361FD7866352C06308008E3DC34640,119,RD-TT,Réel,45.525316,-73.555105
0101000020E610000096E99788B76352C030B95164ADC14640,120,RD-TT,Réel,45.513104,-73.558077
0101000020E6100000BC5983F7556552C03FE3C28190C24640,121,RD-TT,Réel,45.520035,-73.583372
0101000020E61000009DF529C7646152C0B39602D2FECB4640,122,RD-TT,Réel,45.593714,-73.521776
0101000020E61000008D463EAF786252C09ECF807A33CC4640,123,RD-TT,Réel,45.595321,-73.538616
0101000020E610000037FE4465C36652C0E3C281902CC64640,124,RD-TT,Réel,45.548235,-73.605676
0101000020E610000010E6762FF76452C01CD3139678C24640,125,RD-TT,Réel,45.519305,-73.577587
0101000020E6100000A60D87A5816452C0E2B034F0A3C24640,126,RD-TT,Réel,45.520628,-73.570413
0101000020E610000027F6D03E566152C08065A54929CC4640,127,RD-TT,Réel,45.59501,-73.520889
0101000020E6100000BC7669C3616152C0DFE2E13D07CC4640,128,RD-TT,Réel,45.593971,-73.521592
0101000020E6100000E75608ABB16752C0A48D23D6E2C54640,129,RD-TT,Réel,45.545985,-73.620219
0101000020E6100000BD8DCD8E546452C047718E3A3ABE4640,130,RD-TT,Réel,45.486152,-73.567661
0101000020E61000002CBCCB457C6452C06B9C4D4700BD4640,131,RD-TT,Enlevé,45.476571,-73.570085
0101000020E61000007B6AF5D5556452C0A1BC8FA339BE4640,132,RD-TT,Réel,45.486134,-73.567739
0101000020E61000005CE509849D6752C08202EFE4D3BF4640,133,RD-TT,Réel,45.498654,-73.618989
0101000020E61000007769C361696552C054C72AA567C84640,134,RD-TT,Réel,45.565663,-73.584557
0101000020E6100000672B2FF99F6752C0C6DFF60489BF4640,135,RD-TT,Réel,45.496369,-73.619139
0101000020E6100000B265F9BA0C6752C0583849F3C7C44640,136,RD-TT,Réel,45.537352,-73.610152
0101000020E61000005C8FC2F5286252C0EEEE01BA2FC94640,137,RD-TT,Réel,45.571769,-73.53375
0101000020E6100000B9A81611C56752C0334FAE2990BF4640,138,RD-TT,Réel,45.496587,-73.621403
0101000020E6100000CEC5DFF6046552C05378D0ECBABD4640,139,RD-TT,Réel,45.482267,-73.578428
0101000020E61000006CEEE87FB96752C0FB7953910AC94640,140,RD-TT,Enlevé,45.570635,-73.620697
0101000020E6100000B1A888D3496152C000C974E8F4CC4640,141,RD-TT,Réel,45.601224,-73.520131
0101000020E61000009E40D829566652C05E85949F54C54640,142,RD-TT,En conception,45.541645,-73.599009
0101000020E6100000F59ECA694F6752C0994528B682C44640,143,RD-TT,Réel,45.535239,-73.614222
0101000020E6100000DA722EC5556152C07383A10E2BCC4640,144,RD-TT,Réel,45.595064,-73.52086
0101000020E61000004F7974232C6252C0D5B14AE999C64640,145,RD-TT,Réel,45.551572,-73.533944
0101000020E6100000C9AF1F62836B52C063601DC70FC34640,146,RD-TT,En conception,45.523919,-73.679894
0101000020E6100000B7F0BC546C6752C0795BE9B5D9C24640,147,RD-TT,Réel,45.522269,-73.615987
0101000020E610000018CDCAF6216552C0DC9DB5DB2EC64640,148,RD-TT,Enlevé,45.548305,-73.580198
0101000020E610000067994528B66652C01A1538D906C64640,149,RD-TT,Réel,45.547084,-73.604868
0101000020E6100000F0E0270EA06752C02123A0C211C44640,150,RD-TT,Réel,45.531792,-73.619144
0101000020E6100000874F3A91606452C02D78D15790BE4640,151,RD-TT,Réel,45.48878,-73.568394
0101000020E610000037C64E78096252C03C6876DD5BCD4640,152,RD-TT,Enlevé,45.604366,-73.531828
0101000020E61000003C86C77E166652C076AA7CCF48D04640,153,RD-TT,Réel,45.627222,-73.595123
0101000020E61000000CAD4ECE506752C08942CBBA7FC44640,154,RD-TT,Archive,45.535148,-73.614307
0101000020E61000007B6AF5D5556652C0AB22DC6454C54640,155,RD-TT,En conception,45.541638,-73.598989
0101000020E61000009B3A8F8AFF6152C0CDAFE600C1C64640,156,RD-TT,Réel,45.552765,-73.531222
0101000020E6100000B5DC9909866652C05A63D009A1C54640,157,RD-TT,Réel,45.543977,-73.601931
0101000020E610000071581AF8516652C039F06AB933C34640,158,RD-TT,Réel,45.525016,-73.598753
0101000020E6100000AC5626FC526452C0A019C40776C44640,159,RD-TT,Réel,45.534852,-73.567565
0101000020E61000002C2CB81FF06352C083BEF4F6E7C64640,160,RD-TT,Réel,45.553954,-73.561531
0101000020E6100000D5CBEF34996352C0C6E061DA37BD4640,161,RD-TT,Réel,45.478267,-73.556226
0101000020E610000070067FBF986852C0CE380D5185C74640,162,RD-TT,Réel,45.558756,-73.634323
0101000020E61000001E87C1FC156752C0263ACB2C42C74640,163,RD-TT,Réel,45.556707,-73.610717
0101000020E61000005264ADA1D46852C0658D7A8846C94640,164,RD-TT,Réel,45.572465,-73.637978
0101000020E610000008556AF6406652C0BF0D315EF3BA4640,165,RD-TT,Enlevé,45.460552,-73.597715
0101000020E610000086AE44A0FA6552C02E3BC43F6CC54640,166,RD-TT,Réel,45.542366,-73.593422
0101000020E6100000749A05DA1D6152C051FA42C879CD4640,167,RD-TT,Archive,45.605279,-73.517447
0101000020E61000006F2A52616C6352C0DBF97E6ABCC64640,168,RD-TT,Réel,45.552625,-73.55349
0101000020E61000007E1EA33CF36352C0C020E9D32AC64640,169,RD-TT,Réel,45.548182,-73.561721
0101000020E6100000BDAB1E300F6452C0111D024702C34640,170,RD-TT,Réel,45.523507,-73.563427
0101000020E6100000B1FA230C036652C051888043A8C24640,171,RD-TT,Réel,45.52076,-73.593936
